"F1","F2","F3","F4","F5","B1","B2","F6","F7","L"
"264.75","840","552872","1","21","1","1","117","7","0"
"21.18","840","707540","2","16","1","1","119","7","0"
"200.68","840","522345","1","07","1","1","126","-30","0"
"53.16","840","715280","2","19","1","1","128","-7","0"
"52.95","840","147595","6","05","1","1","131","16","0"
"1059.00","840","551780","4","01","1","1","128","-7","0"
"21.15","840","165413","5","21","1","1","130","14","0"
"84.72","840","551780","6","17","1","1","131","2","0"
"159.53","840","051156","5","23","1","1","132","18","0"
"340.81","840","551780","7","20","1","1","128","-32","0"
"185.33","840","165466","7","00","1","1","128","-7","0"
"26.48","840","492854","3","22","1","1","130","3","0"
"26.48","840","765455","2","06","1","1","133","17","0"
"74.34","840","926352","6","23","1","1","128","-7","0"
"52.95","840","241854","6","03","1","1","128","-7","0"
"115.43","840","241854","3","02","1","1","131","8","0"
"37.07","840","865117","4","17","1","1","118","7","0"
"50.00","840","011852","6","18","1","1","128","-3","0"
"21.18","840","278545","4","21","1","1","120","-8","0"
"21.18","840","447533","6","16","1","1","128","-7","0"
"159.53","840","172795","4","04","1","1","128","-7","0"
"106.58","840","465175","7","23","1","1","128","-7","0"
"105.90","840","551780","7","17","1","1","128","-7","0"
"26.48","840","551080","5","23","1","1","132","6","0"
"21.18","840","053126","3","17","1","1","128","-7","0"
"45.51","840","554741","6","05","1","1","127","-33","0"
"52.95","840","551780","1","23","1","1","128","-7","0"
"212.48","840","115378","6","02","1","1","115","9","0"
"106.58","840","241854","2","02","1","1","131","2","0"
"26.48","840","551080","3","07","1","1","128","-7","0"
"25.00","840","065121","2","23","1","1","132","18","0"
"211.80","840","239355","6","08","1","1","130","-22","0"
"26.48","840","241854","1","04","1","1","128","12","0"
"30.12","840","736852","7","03","1","1","129","6","0"
"21.30","840","987512","4","00","1","1","132","6","0"
"37.07","840","051780","1","04","1","1","117","7","0"
"25.00","840","243355","6","22","1","1","123","-22","0"
"105.90","840","551780","5","03","1","1","121","-8","0"
"26.60","840","551780","6","22","1","1","126","3","0"
"200.00","840","133352","5","23","1","1","124","5","0"
"75.21","840","551995","4","17","1","1","122","4","0"
"76.92","124","565457","4","12","1","1","133","10","0"
"31.77","840","865516","3","05","1","1","131","9","0"
"211.80","840","262195","2","13","1","1","128","-7","0"
"52.95","840","653354","6","05","1","1","128","-7","0"
"70.19","840","165466","6","21","1","1","128","-7","0"
"53.16","840","551780","6","07","1","1","124","-29","0"
"25.00","840","551080","5","14","1","1","120","-8","0"
"211.80","840","287495","1","01","1","1","128","-7","0"
"53.16","840","551780","3","02","1","1","124","-29","0"
"31.77","840","055943","2","21","1","1","120","-1","0"
"74.34","840","554664","2","19","1","1","123","-23","0"
"63.54","840","125853","7","22","1","1","128","-7","0"
"21.18","840","277510","7","00","1","1","130","14","0"
"50.00","840","512532","6","23","1","1","128","-7","0"
"577.16","840","551780","7","00","1","1","119","-6","0"
"1001.53","840","887514","6","06","1","1","122","-7","0"
"105.90","840","165466","6","10","1","1","128","-7","0"
"36.93","276","215234","2","20","0","1","66","43","0"
"52.95","840","551780","4","16","1","1","128","-7","0"
"106.58","840","365596","6","17","1","1","128","-7","0"
"300.00","840","239145","2","05","1","1","127","-33","0"
"105.90","840","307515","4","06","1","1","125","10","0"
"16.82","840","165413","1","00","1","1","131","1","0"
"212.48","840","551780","7","10","1","1","132","-2","0"
"42.36","840","215523","7","07","1","1","123","-28","0"
"106.58","840","551780","2","05","1","1","124","-28","0"
"42.36","840","215576","7","04","1","1","126","3","0"
"55.00","840","551080","6","07","1","1","128","5","0"
"161.65","840","553110","5","18","1","1","133","5","0"
"20.00","840","997521","3","05","1","1","128","-7","0"
"53.16","840","551780","3","06","1","1","123","-23","0"
"16.15","840","165413","1","03","1","1","135","-3","0"
